Propiedad_ID,Tasa_Inflacion,Variacion_PIB,Precio_m2,Tamanho,Habitaciones,Precio_Predicho
1,8.3,17.3,483,360.0,2,919380000
2,8.3,17.3,715,214.0,2,782740000
3,8.3,17.3,937,25.0,1,664941000
4,8.3,17.3,937,854.55,5,703680000
5,8.3,17.3,765,542.2,8,1113110000
6,8.3,17.3,765,97.44,2,577056000
7,8.3,17.3,483,360.0,2,919380000
8,8.3,17.3,715,214.0,2,782740000
9,8.3,17.3,937,854.55,5,703680000
10,8.3,17.3,937,80.0,2,192211000
11,8.3,17.3,1130,168.0,3,610263000
12,8.3,17.3,715,124.0,2,669016000
13,8.3,17.3,765,350.0,4,688640000
14,8.3,17.3,765,603.0,0,1543400000
